bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
int odbc_result_all ( int result_id , string [format] );HTML テーブルとして結果を出力します
string odbc_result ( int result_id , mixed field );結果データを得ます
int odbc_rollback ( int connection_id );トランザクションをロールバックします
int odbc_setoption ( int id , int function , int option , int param );ODBCの設定を変更します。エラーが発生した場合にFALSE、その他の場合にTRUEを返します。
int odbc_specialcolumns ( int connection_id , int type , string qualifier , string owner , string table , int scope , int nullable );テーブルのレコードを特定する最適なカラムの組合せまたはレコードの値がトランザクションにより更新される際に自動的に更新されるカラムを返す
int odbc_statistics ( int connection_id , string qualifier , string owner , string table_name , int unique , int accuracy );テーブルに関する統計情報を取得する
int odbc_tableprivileges ( int connection_id , string [qualifier] , string [owner] , string [name] );各テーブルのリストおよび関連する権限のリストを取得する
int odbc_tables ( int connection_id , string [qualifier] , string [owner] , string [name] , string [types] );指定したデータソースに保存されたテーブルの名前のリストを取得し、その情報を有する結果IDを返す
string base64_decode ( string encoded_data );base64方式によりエンコードされたデータのデコード
string base64_encode ( string data );base64方式によるデータのエンコード
array get_meta_tags ( string filename , [ bool use_include_path ] );ファイル上のすべてのメタタグ情報を配列に展開する
array parse_url ( string url );URL を解釈し、その構成要素を返します
string rawurldecode ( string str );URL エンコードされた文字列をデコードする
string rawurlencode ( string str );RFC1738に基づきURLエンコードを行う
string urldecode ( string str );エンコードされたURL文字列のデコード
string urlencode ( string str );URL文字列のエンコード
bool empty ( mixed var );変数が空であるかどうかを検査する
float floatval ( mixed var );変数のfloat値を取得する
array get_defined_vars ();全ての定義済の変数を配列で返す
string get_resource_type ( resource handle );リソース型を返す
string gettype ( mixed var );変数の型を取得する
bool import_request_variables ( string types , [ string prefix ] );GET/POST/Cookie変数をグローバルスコープにインポートする
int intval ( mixed var , int [base] );変数の整数としての値を取得する
bool is_array ( mixed var );変数が配列かどうかを検査する
bool is_bool ( mixed var );変数がbooleanであるかを調べる
bool is_callable ( mixed var , [ bool syntax_only ] , [ string callable_name ] );引数が有効なコール可能な構造であるかどうかを調べる
bool is_float ( mixed var );変数がfloatかどうか調べる
bool is_int ( mixed var );変数が整数かどうかを検査する
bool is_null ( mixed var );変数が NULLかどうか調べる
bool is_numeric ( mixed var );指定した変数が数字または数値文字列であるかを調べる
bool is_object ( mixed var );変数がオブジェクトかどうかを検査する
bool is_resource ( mixed var );変数がリソースかどうかを調べる
bool is_scalar ( mixed var );変数がスカラーかどうかを調べる
bool is_string ( mixed var );変数が文字列かどうかを検査する
int isset ( mixed var );変数がセットされているかどうかを検査する
bool print_r ( mixed expression , [ bool return ] );指定した変数に関する情報を解りやすく出力する
string serialize ( mixed value );値の保存可能な表現を生成する
bool settype ( mixed var , string type );変数の型をセットする
string strval ( mixed var );変数の文字列としての値を得ます
mixed unserialize ( string str );保存用表現から PHP の値を生成する
void unset ( mixed var , mixed [var] , [...] );指定した変数の割当を解除する
void var_dump ( mixed expression , [ mixed expression ] , [ ... ] );指定した変数に関する情報をダンプする
mixed var_export ( mixed expression , [ int return ] );変数の文字列表現を出力または返す
bool vpopmail_add_alias_domain_ex ( string olddomain , string newdomain );既存の仮想ドメインにエイリアスを追加する
bool vpopmail_add_alias_domain ( string domain , string aliasdomain );仮想ドメインへのエイリアスを追加する
bool vpopmail_add_domain_ex ( string domain , string passwd , [ string quota ] , [ string bounce ] , [ bool apop ] );新規に仮想ドメインを追加する
bool vpopmail_add_domain ( string domain , string dir , int uid , int gid );仮想ドメインを新たに追加する
bool vpopmail_add_user ( string user , string domain , string password , [ string gecos ] , [ bool apop ] );指定した仮想ドメインに新規ユーザを追加する
